wavenumbers,transmittance
854.2801355,0.947
855.7340921,0.943
857.1880488,0.941
858.6420054,0.938
860.0959621,0.933
861.5499187,0.9221
863.0038753,0.915
864.457832,0.912
865.9117886,0.906
867.3657453,0.905
868.8197019,0.905
870.2736585,0.895
871.7276152,0.8741
873.1815718,0.864
874.6355285,0.8541
876.0894851,0.847
877.5434417,0.8361
878.9973984,0.8568
880.451355,0.87
881.9053117,0.887
883.3592683,0.906
884.8132249,0.906
886.2671816,0.905
887.7211382,0.903
889.1750949,0.903
890.6290515,0.902
892.0830081,0.902
893.5369648,0.899
894.9909214,0.895
896.444878,0.892
897.8988347,0.889
899.3527913,0.886
900.806748,0.885
902.2607046,0.883
903.7146612,0.883
905.1686179,0.882
906.6225745,0.882
908.0765312,0.882
909.5304878,0.882
910.9844444,0.883
912.4384011,0.886
913.8923577,0.892
915.3463144,0.893
916.800271,0.902
918.2542276,0.912
919.7081843,0.9239
921.1621409,0.9339
922.6160976,0.9429
924.0700542,0.95
925.5240108,0.95
926.9779675,0.95
928.4319241,0.95
929.8858808,0.949
931.3398374,0.946
932.793794,0.946
934.2477507,0.944
935.7017073,0.944
937.155664,0.944
938.6096206,0.943
940.0635772,0.94
941.5175339,0.937
942.9714905,0.933
944.4254472,0.934
945.8794038,0.934
947.3333604,0.933
948.7873171,0.933
950.2412737,0.931
951.6952304,0.931
953.149187,0.927
954.6031436,0.925
956.0571003,0.925
957.5110569,0.924
958.9650136,0.924
960.4189702,0.922
961.8729268,0.922
963.3268835,0.921
964.7808401,0.915
966.2347967,0.914
967.6887534,0.914
969.14271,0.914
970.5966667,0.914
972.0506233,0.914
973.5045799,0.914
974.9585366,0.912
976.4124932,0.911
977.8664499,0.909
979.3204065,0.908
980.7743631,0.906
982.2283198,0.905
983.6822764,0.903
985.1362331,0.903
986.5901897,0.903
988.0441463,0.901
989.498103,0.898
990.9520596,0.892
992.4060163,0.892
993.8599729,0.889
995.3139295,0.889
996.7678862,0.887
998.2218428,0.876
999.6757995,0.866
1001.129756,0.858
1002.583713,0.851
1004.037669,0.85
1005.491626,0.85
1006.945583,0.851
